task1,task2,localizer1,localizer2,froi1,froi2,overlap,subject
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,1,1,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,1,2,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,1,3,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,1,4,0.128,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,1,5,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,1,6,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,1,7,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,1,8,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,1,9,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,1,10,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,1,11,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,2,1,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,2,2,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,2,3,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,2,4,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,2,5,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,2,6,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,2,7,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,2,8,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,2,9,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,2,10,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,2,11,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,3,1,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,3,2,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,3,3,0.328125,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,3,4,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,3,5,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,3,6,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,3,7,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,3,8,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,3,9,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,3,10,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,3,11,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,4,1,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,4,2,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,4,3,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,4,4,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,4,5,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,4,6,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,4,7,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,4,8,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,4,9,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,4,10,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,4,11,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,5,1,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,5,2,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,5,3,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,5,4,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,5,5,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,5,6,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,5,7,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,5,8,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,5,9,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,5,10,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,5,11,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,6,1,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,6,2,0.1891891891891892,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,6,3,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,6,4,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,6,5,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,6,6,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,6,7,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,6,8,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,6,9,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,6,10,0.0,040
SWNloc,EventsOrig,S-N,Sem_photominusPerc_photo,6,11,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,1,1,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,1,2,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,1,3,0.07734806629834254,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,1,4,0.512,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,1,5,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,1,6,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,1,7,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,1,8,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,1,9,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,1,10,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,1,11,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,2,1,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,2,2,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,2,3,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,2,4,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,2,5,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,2,6,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,2,7,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,2,8,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,2,9,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,2,10,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,2,11,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,3,1,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,3,2,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,3,3,0.90625,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,3,4,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,3,5,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,3,6,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,3,7,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,3,8,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,3,9,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,3,10,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,3,11,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,4,1,0.06756756756756757,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,4,2,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,4,3,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,4,4,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,4,5,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,4,6,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,4,7,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,4,8,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,4,9,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,4,10,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,4,11,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,5,1,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,5,2,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,5,3,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,5,4,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,5,5,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,5,6,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,5,7,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,5,8,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,5,9,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,5,10,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,5,11,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,6,1,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,6,2,0.1891891891891892,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,6,3,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,6,4,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,6,5,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,6,6,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,6,7,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,6,8,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,6,9,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,6,10,0.0,040
SWNloc,EventsOrig,S-N,Sem_sentminusPerc_sent,6,11,0.0,040
SWNloc,EventsOrig,S-N,SemMinusPercBothMax,1,1,0.0,040
SWNloc,EventsOrig,S-N,SemMinusPercBothMax,1,2,0.0,040
SWNloc,EventsOrig,S-N,SemMinusPercBothMax,1,3,0.016574585635359115,040
