task1,task2,localizer1,localizer2,froi1,froi2,overlap,subject
,,Events,Language,1,1,0.0,
,,Events,Language,1,2,0.0,
,,Events,Language,1,3,0.0,
,,Events,Language,1,4,0.8344549125168237,
,,Events,Language,1,5,0.006493506493506494,
,,Events,Language,1,6,0.0,
,,Events,Language,2,1,0.0,
,,Events,Language,2,2,0.0,
,,Events,Language,2,3,0.0,
,,Events,Language,2,4,0.08882907133243607,
,,Events,Language,2,5,0.0,
,,Events,Language,2,6,0.6378378378378379,
,,Events,Language,3,1,0.2588105726872247,
,,Events,Language,3,2,0.0,
,,Events,Language,3,3,0.9208074534161491,
,,Events,Language,3,4,0.0,
,,Events,Language,3,5,0.0,
,,Events,Language,3,6,0.0,
,,Events,Language,4,1,0.6810551558752997,
,,Events,Language,4,2,0.0,
,,Events,Language,4,3,0.0,
,,Events,Language,4,4,0.0,
,,Events,Language,4,5,0.0,
,,Events,Language,4,6,0.0,
,,Events,Language,5,1,0.0,
,,Events,Language,5,2,0.0,
,,Events,Language,5,3,0.0,
,,Events,Language,5,4,0.0,
,,Events,Language,5,5,0.0,
,,Events,Language,5,6,0.0,
,,Events,Language,6,1,0.0,
,,Events,Language,6,2,0.0,
,,Events,Language,6,3,0.003105590062111801,
,,Events,Language,6,4,0.0,
,,Events,Language,6,5,0.0,
,,Events,Language,6,6,0.0,
,,Events,Language,7,1,0.0,
,,Events,Language,7,2,0.0,
,,Events,Language,7,3,0.0,
,,Events,Language,7,4,0.0,
,,Events,Language,7,5,0.0,
,,Events,Language,7,6,0.0,
,,Events,Language,8,1,0.0,
,,Events,Language,8,2,0.0,
,,Events,Language,8,3,0.0,
,,Events,Language,8,4,0.0,
,,Events,Language,8,5,0.0,
,,Events,Language,8,6,0.0,
,,Events,Language,9,1,0.0,
,,Events,Language,9,2,0.0,
,,Events,Language,9,3,0.0,
,,Events,Language,9,4,0.0,
,,Events,Language,9,5,0.0,
,,Events,Language,9,6,0.0,
,,Events,Language,10,1,0.0,
,,Events,Language,10,2,0.0,
,,Events,Language,10,3,0.0,
,,Events,Language,10,4,0.0,
,,Events,Language,10,5,0.0,
,,Events,Language,10,6,0.0,
,,Events,Language,11,1,0.0,
,,Events,Language,11,2,0.0,
,,Events,Language,11,3,0.0,
,,Events,Language,11,4,0.0,
,,Events,Language,11,5,0.0,
,,Events,Language,11,6,0.0,
