froi,size,effect_run,froi_run,subject,effect
1,1.5221540412301717,1,orth1,040,S
1,0.4181985068895227,2,orth2,040,S
1,1.7643403127840183,3,orth3,040,S
2,0.13269713682772513,1,orth1,040,S
2,0.27964087820999584,2,orth2,040,S
2,0.49557326410690117,3,orth3,040,S
3,-0.348962236486841,1,orth1,040,S
3,-0.0820136625879968,2,orth2,040,S
3,0.3379675585674704,3,orth3,040,S
4,1.819596607942839,1,orth1,040,S
4,0.4668552421561971,2,orth2,040,S
4,2.5717508591510154,3,orth3,040,S
5,0.817986685782671,1,orth1,040,S
5,-0.0898041520267725,2,orth2,040,S
5,0.4400083558714908,3,orth3,040,S
6,1.7749407150455423,1,orth1,040,S
6,0.48301248025853893,2,orth2,040,S
6,1.5392396552362353,3,orth3,040,S
1,0.6648661857134295,1,orth1,040,W
1,0.23706191644978514,2,orth2,040,W
1,1.611611816195809,3,orth3,040,W
2,-0.24639680195185873,1,orth1,040,W
2,0.16818007113366032,2,orth2,040,W
2,0.8932203234426309,3,orth3,040,W
3,-1.0487005142495036,1,orth1,040,W
3,-0.27492274878022727,2,orth2,040,W
3,0.24671394666347624,3,orth3,040,W
4,0.8400331409144643,1,orth1,040,W
4,0.7080230759708462,2,orth2,040,W
4,2.946216774953378,3,orth3,040,W
5,1.1842915389848792,1,orth1,040,W
5,0.2904400012314158,2,orth2,040,W
5,0.7313515522071848,3,orth3,040,W
6,1.4931063712448687,1,orth1,040,W
6,0.5590782460026644,2,orth2,040,W
6,1.2757618113144025,3,orth3,040,W
1,0.740983846603709,1,orth1,040,N
1,-0.4029655737515704,2,orth2,040,N
1,1.125014905651895,3,orth3,040,N
2,0.08277965372896834,1,orth1,040,N
2,0.12198341248720815,2,orth2,040,N
2,0.5072948462459155,3,orth3,040,N
3,-0.643222073209472,1,orth1,040,N
3,-0.7311932913000021,2,orth2,040,N
3,-0.1671311308418808,3,orth3,040,N
4,1.6510096223571815,1,orth1,040,N
4,-0.33769955762938875,2,orth2,040,N
4,1.7316900713218224,3,orth3,040,N
5,1.6265856507031813,1,orth1,040,N
5,0.015967541212297005,2,orth2,040,N
