froi1,froi2,overlap,subject
1,1,0.1797752808988764,040
1,2,0.0,040
1,3,0.0,040
1,4,0.0,040
1,5,0.0,040
1,6,0.0,040
1,7,0.0,040
1,8,0.0,040
1,9,0.0,040
1,10,0.0,040
1,11,0.0,040
2,1,0.0,040
2,2,0.13362068965517243,040
2,3,0.0,040
2,4,0.0,040
2,5,0.0,040
2,6,0.0,040
2,7,0.0,040
2,8,0.0,040
2,9,0.0,040
2,10,0.0,040
2,11,0.0,040
3,1,0.0,040
3,2,0.0,040
3,3,0.13535911602209943,040
3,4,0.0,040
3,5,0.0,040
3,6,0.0,040
3,7,0.0,040
3,8,0.0,040
3,9,0.0,040
3,10,0.0,040
3,11,0.0,040
4,1,0.0,040
4,2,0.0,040
4,3,0.0,040
4,4,0.07200000000000001,040
4,5,0.0,040
4,6,0.0,040
4,7,0.0,040
4,8,0.0,040
4,9,0.0,040
4,10,0.0,040
4,11,0.0,040
5,1,0.0,040
5,2,0.0,040
5,3,0.0,040
5,4,0.0,040
5,5,0.11440677966101695,040
5,6,0.0,040
5,7,0.0,040
5,8,0.0,040
5,9,0.0,040
5,10,0.0,040
5,11,0.0,040
6,1,0.0,040
6,2,0.0,040
6,3,0.0,040
6,4,0.0,040
6,5,0.0,040
6,6,0.17346938775510204,040
6,7,0.0,040
6,8,0.0,040
6,9,0.0,040
6,10,0.0,040
6,11,0.0,040
7,1,0.0,040
7,2,0.0,040
7,3,0.0,040
7,4,0.0,040
7,5,0.0,040
7,6,0.0,040
7,7,0.021739130434782608,040
7,8,0.0,040
7,9,0.0,040
7,10,0.0,040
7,11,0.0,040
8,1,0.0,040
8,2,0.0,040
8,3,0.0,040
8,4,0.0,040
8,5,0.0,040
8,6,0.0,040
8,7,0.0,040
8,8,0.08411214953271028,040
8,9,0.0,040
8,10,0.0,040
8,11,0.0,040
9,1,0.0,040
9,2,0.0,040
9,3,0.0,040
9,4,0.0,040
9,5,0.0,040
9,6,0.0,040
9,7,0.0,040
9,8,0.0,040
9,9,0.12307692307692308,040
9,10,0.0,040
9,11,0.0,040
10,1,0.0,040
10,2,0.0,040
10,3,0.0,040
10,4,0.0,040
10,5,0.0,040
10,6,0.0,040
10,7,0.0,040
10,8,0.0,040
10,9,0.0,040
10,10,0.11206896551724138,040
10,11,0.0,040
11,1,0.0,040
11,2,0.0,040
11,3,0.0,040
11,4,0.0,040
11,5,0.0,040
11,6,0.0,040
11,7,0.0,040
11,8,0.0,040
11,9,0.0,040
11,10,0.0,040
11,11,0.09090909090909091,040
1,1,0.47752808988764045,057
1,2,0.0,057
1,3,0.0,057
1,4,0.0,057
1,5,0.0,057
1,6,0.0,057
1,7,0.0,057
1,8,0.0,057
1,9,0.0,057
1,10,0.0,057
1,11,0.0,057
2,1,0.0,057
2,2,0.15948275862068964,057
2,3,0.0,057
2,4,0.0,057
2,5,0.0,057
2,6,0.0,057
2,7,0.0,057
2,8,0.0,057
2,9,0.0,057
2,10,0.0,057
2,11,0.0,057
3,1,0.0,057
3,2,0.0,057
3,3,0.11049723756906077,057
3,4,0.0,057
3,5,0.0,057
3,6,0.0,057
3,7,0.0,057
3,8,0.0,057
3,9,0.0,057
3,10,0.0,057
3,11,0.0,057
4,1,0.0,057
4,2,0.0,057
4,3,0.0,057
4,4,0.19999999999999998,057
4,5,0.0,057
4,6,0.0,057
4,7,0.0,057
4,8,0.0,057
4,9,0.0,057
4,10,0.0,057
