parcel1,froi2,overlap,run1,run2,subject
1,1,0.0,parcels,all,040
1,2,0.0,parcels,all,040
1,3,0.23204419889502761,parcels,all,040
1,4,0.864,parcels,all,040
1,5,0.0,parcels,all,040
1,6,0.0,parcels,all,040
1,7,0.0,parcels,all,040
1,8,0.0,parcels,all,040
1,9,0.0,parcels,all,040
1,10,0.0,parcels,all,040
1,11,0.0,parcels,all,040
2,1,0.0,parcels,all,040
2,2,0.0,parcels,all,040
2,3,0.0,parcels,all,040
2,4,0.0,parcels,all,040
2,5,0.0,parcels,all,040
2,6,0.0,parcels,all,040
2,7,0.0,parcels,all,040
2,8,0.0,parcels,all,040
2,9,0.0,parcels,all,040
2,10,0.0,parcels,all,040
2,11,0.0,parcels,all,040
3,1,0.0,parcels,all,040
3,2,0.0,parcels,all,040
3,3,0.6077348066298343,parcels,all,040
3,4,0.0,parcels,all,040
3,5,0.0,parcels,all,040
3,6,0.0,parcels,all,040
3,7,0.0,parcels,all,040
3,8,0.0,parcels,all,040
3,9,0.0,parcels,all,040
3,10,0.0,parcels,all,040
3,11,0.0,parcels,all,040
4,1,0.5393258426966292,parcels,all,040
4,2,0.034482758620689655,parcels,all,040
4,3,0.0,parcels,all,040
4,4,0.0,parcels,all,040
4,5,0.0,parcels,all,040
4,6,0.0,parcels,all,040
4,7,0.0,parcels,all,040
4,8,0.0,parcels,all,040
4,9,0.0,parcels,all,040
4,10,0.0,parcels,all,040
4,11,0.0,parcels,all,040
5,1,0.0,parcels,all,040
5,2,0.0,parcels,all,040
5,3,0.0,parcels,all,040
5,4,0.0,parcels,all,040
5,5,0.0,parcels,all,040
5,6,0.0,parcels,all,040
5,7,0.0,parcels,all,040
5,8,0.0,parcels,all,040
5,9,0.0,parcels,all,040
5,10,0.0,parcels,all,040
5,11,0.0,parcels,all,040
6,1,0.0,parcels,all,040
6,2,0.6206896551724138,parcels,all,040
6,3,0.0,parcels,all,040
6,4,0.0,parcels,all,040
6,5,0.0,parcels,all,040
6,6,0.0,parcels,all,040
6,7,0.0,parcels,all,040
6,8,0.0,parcels,all,040
6,9,0.0,parcels,all,040
6,10,0.0,parcels,all,040
6,11,0.0,parcels,all,040
1,1,0.0,parcels,all,057
