parcels,fisher_z,subject
1,0.48252419488225495,040
2,0.702330510893424,040
3,0.2891782838012685,040
4,1.0347988742176168,040
5,0.984972681054561,040
6,0.28234663516271075,040
1,0.6942792265863106,057
2,0.4253981567737818,057
3,0.22649456503829665,057
4,0.7432188285901696,057
5,0.4337735894922288,057
6,0.31032097268980646,057
1,0.5327359901448907,059
2,0.4063896934606836,059
3,0.7898657310901045,059
4,0.6116895321308737,059
5,0.9290989229976337,059
6,0.44285404563058217,059
1,0.6237696761699151,056
2,0.5302382565857131,056
3,0.23450537842400462,056
4,0.6868097050704277,056
5,0.7487848542668408,056
6,0.1611622470994547,056
1,0.5696932972856654,067
2,0.18331158592171096,067
3,0.3732517747762569,067
4,0.9119768589822699,067
5,0.8660587208418794,067
6,0.07904859106189606,067
1,0.7923529845672277,068
2,0.230135473880171,068
3,0.7258708136903462,068
4,1.2239352418897713,068
5,0.5996444744381654,068
6,0.3073904381778868,068
1,-0.3542083819160362,019
2,-0.3664122400635849,019
3,-0.8440320060166275,019
4,-0.4146837720461601,019
5,-0.265354985382716,019
6,-0.3032509034183954,019
1,1.1702565647316665,070
2,0.3116684917303021,070
3,0.6861593207490383,070
4,0.7321215634784195,070
5,0.8997545363728886,070
6,0.7978195166092565,070
1,0.9544654370739234,087
2,0.8125385949762208,087
3,0.07561703156440021,087
4,0.715403295081672,087
5,1.3984086544665943,087
6,0.6985293262799958,087
1,0.03659103702172198,078
2,0.053321451710525984,078
3,0.053738443113919086,078
4,0.4097016753985907,078
5,0.07321376753492627,078
6,0.6490419904864669,078
1,0.1892018908860731,089
2,-0.15143131384522152,089
3,0.29092619340248627,089
4,0.1271086431262779,089
5,-0.45416727093121806,089
6,0.045215730427405995,089
1,0.42218691382279305,076
2,-0.4988074288304601,076
3,0.11259398534291037,076
4,0.23714218748035912,076
5,0.4427883820575547,076
6,-0.17044392643131603,076
