froi,fisher_z,froi_run,effect1_run,effect2_run,subject
LIFG_orb,0.9454460928808408,orth1,1,all,040
LIFG_orb,0.5506205731078856,orth2,2,all,040
LIFG_orb,0.6551220557693451,orth3,3,all,040
LIFG,0.45877815568390523,orth1,1,all,040
LIFG,0.5631444786526674,orth2,2,all,040
LIFG,0.2267846358466163,orth3,3,all,040
LMFG,-0.21281269884766876,orth1,1,all,040
LMFG,0.1475924320881778,orth2,2,all,040
LMFG,-0.024705707955242198,orth3,3,all,040
LAntTemp,1.0738225729516577,orth1,1,all,040
LAntTemp,0.5013415531397156,orth2,2,all,040
LAntTemp,1.2484644904216966,orth3,3,all,040
LPostTemp,0.7587084140496155,orth1,1,all,040
LPostTemp,0.5770815847074207,orth2,2,all,040
LPostTemp,0.34569601108074627,orth3,3,all,040
LAngG,-0.021813203879828658,orth1,1,all,040
LAngG,-0.126517357655558,orth2,2,all,040
LAngG,0.6776216527304687,orth3,3,all,040
LIFG_orb,0.7328701920807835,orth1,1,all,057
LIFG_orb,0.4753472690322206,orth2,2,all,057
LIFG_orb,0.39451221043980605,orth3,3,all,057
LIFG,0.23856323355468356,orth1,1,all,057
LIFG,0.16010170807024043,orth2,2,all,057
LIFG,0.29156797512807375,orth3,3,all,057
LMFG,-0.17400259792542483,orth1,1,all,057
LMFG,1.0243239065079979,orth2,2,all,057
LMFG,0.6711065129973567,orth3,3,all,057
LAntTemp,0.6030691253096582,orth1,1,all,057
LAntTemp,1.0125032998608472,orth2,2,all,057
LAntTemp,0.5822101170120625,orth3,3,all,057
LPostTemp,0.8677579110508593,orth1,1,all,057
LPostTemp,0.6238054515285087,orth2,2,all,057
LPostTemp,0.41693445750102537,orth3,3,all,057
LAngG,0.008387345672289465,orth1,1,all,057
LAngG,0.5454541073724538,orth2,2,all,057
LAngG,0.712130558416597,orth3,3,all,057
LIFG_orb,0.9135910577052008,orth1,1,all,059
LIFG_orb,1.0684757522462178,orth2,2,all,059
LIFG_orb,0.7777363021125169,orth3,3,all,059
LIFG,0.8684765704045242,orth1,1,all,059
LIFG,0.4949293301291682,orth2,2,all,059
LIFG,1.0551943379987225,orth3,3,all,059
