froi,fisher_z,subject
LIFG_orb,0.7170629072526905,040
LIFG,0.41623575672772967,040
LMFG,-0.029975324904911057,040
LAntTemp,0.9412095388376901,040
LPostTemp,0.5604953366125941,040
LAngG,0.17643036373169405,040
LIFG_orb,0.5342432238509367,057
LIFG,0.2300776389176659,057
LMFG,0.50714260719331,057
LAntTemp,0.7325941807275226,057
LPostTemp,0.6361659400267978,057
LAngG,0.4219906704871135,057
LIFG_orb,0.9199343706879786,059
LIFG,0.806200079510805,059
LMFG,0.8176708934245126,059
LAntTemp,0.8551993411769329,059
LPostTemp,0.9328272101421055,059
LAngG,0.09206108354597548,059
LIFG_orb,0.30679764828960837,056
LIFG,0.9129843523427961,056
LMFG,0.3512793216144799,056
LAntTemp,0.5928322969324024,056
LPostTemp,0.750177088285259,056
LAngG,-0.05862975090114323,056
LIFG_orb,0.5708565860708323,067
LIFG,0.2892183057487337,067
LMFG,0.17229779570982492,067
LAntTemp,0.7714250787545093,067
LPostTemp,0.6579843527151811,067
LAngG,-0.14653566652258943,067
LIFG_orb,0.7954497030922177,068
LIFG,-0.004633097040333316,068
LMFG,0.9286663178228084,068
LAntTemp,0.7011377781166394,068
LPostTemp,0.4451500466955871,068
LAngG,0.10800656900328558,068
LIFG_orb,-0.34021082174370026,019
LIFG,0.22192212000416892,019
LMFG,-0.5535714129847489,019
LAntTemp,-0.05085020558669865,019
LPostTemp,-0.4015369442323786,019
LAngG,-0.02482124554873875,019
LIFG_orb,1.1235783841284077,070
LIFG,0.3444381120594831,070
LMFG,0.758833922407249,070
LAntTemp,0.9193469355165651,070
LPostTemp,0.7411234830435881,070
LAngG,1.081219991530504,070
LIFG_orb,0.7760570323616164,087
LIFG,0.8282034101230398,087
LMFG,0.39998827062575465,087
LAntTemp,0.43638971094259144,087
LPostTemp,0.7836231466945996,087
LAngG,0.7584744108039114,087
LIFG_orb,0.09502038571048653,078
LIFG,0.10477664953295264,078
LMFG,0.9176290574084381,078
LAntTemp,0.012053150943588201,078
LPostTemp,0.0674591488871616,078
LAngG,0.36396945848117584,078
LIFG_orb,0.08009485907071633,089
LIFG,-0.0953546445465251,089
LMFG,0.3719472971011703,089
LAntTemp,-0.0552456122570078,089
LPostTemp,-0.09843004708412605,089
LAngG,-0.12253405391614085,089
LIFG_orb,0.16121451751679763,076
LIFG,-0.057838976548789924,076
LMFG,-0.19654770886498826,076
LAntTemp,0.3358416508166886,076
LPostTemp,0.6791350739868554,076
LAngG,0.03634727134608947,076
