subject,froi_size,froi,task,contrast,effect_size
040,294.0,1,SWNloc,S,1.2348976203012376
040,162.0,2,SWNloc,S,0.3026370930482074
040,64.0,3,SWNloc,S,-0.031002780169122463
040,74.0,4,SWNloc,S,1.6194009030833505
040,46.0,5,SWNloc,S,0.38939696320912975
040,37.0,6,SWNloc,S,1.2657309501801055
040,294.0,1,SWNloc,W,0.8465400493171599
040,162.0,2,SWNloc,W,0.2876359880197632
040,64.0,3,SWNloc,W,-0.3704560447949916
040,74.0,4,SWNloc,W,1.6121619712762736
040,46.0,5,SWNloc,W,0.8899649098191572
040,37.0,6,SWNloc,W,0.9897214721988987
040,294.0,1,SWNloc,N,0.48767772616801125
040,162.0,2,SWNloc,N,0.23735263748736402
040,64.0,3,SWNloc,N,-0.5138488317837849
040,74.0,4,SWNloc,N,1.0150000453498718
040,46.0,5,SWNloc,N,0.7554180076264817
040,37.0,6,SWNloc,N,1.263314107449742
040,294.0,1,EventsOrig,Sem_photo,-0.7954869687075721
040,162.0,2,EventsOrig,Sem_photo,-0.05354402423548846
040,64.0,3,EventsOrig,Sem_photo,0.22674225666560233
040,74.0,4,EventsOrig,Sem_photo,0.5826138501634469
040,46.0,5,EventsOrig,Sem_photo,1.1709063679951688
040,37.0,6,EventsOrig,Sem_photo,1.2478644710940283
040,294.0,1,EventsOrig,Perc_photo,-0.586019826837543
040,162.0,2,EventsOrig,Perc_photo,0.27069477609324233
040,64.0,3,EventsOrig,Perc_photo,0.01597770507214591
040,74.0,4,EventsOrig,Perc_photo,0.8411624376737589
040,46.0,5,EventsOrig,Perc_photo,1.1871375595421896
040,37.0,6,EventsOrig,Perc_photo,-0.06445087854926651
040,294.0,1,EventsOrig,Sem_sent,-0.08578652271456054
040,162.0,2,EventsOrig,Sem_sent,0.03732937604855792
040,64.0,3,EventsOrig,Sem_sent,0.12406284763710573
040,74.0,4,EventsOrig,Sem_sent,0.9040134758059237
040,46.0,5,EventsOrig,Sem_sent,1.3232337042041447
040,37.0,6,EventsOrig,Sem_sent,1.9750994886900928
040,294.0,1,EventsOrig,Perc_sent,-0.5557474671755316
040,162.0,2,EventsOrig,Perc_sent,0.04892927826738652
040,64.0,3,EventsOrig,Perc_sent,-0.22206242906395346
040,74.0,4,EventsOrig,Perc_sent,0.5115899544058217
040,46.0,5,EventsOrig,Perc_sent,0.8704075233443923
040,37.0,6,EventsOrig,Perc_sent,-0.25961195702689727
057,294.0,1,SWNloc,S,2.447833142410161
057,162.0,2,SWNloc,S,1.6333153287807303
057,64.0,3,SWNloc,S,1.8170425328620088
057,74.0,4,SWNloc,S,2.108356186868371
057,46.0,5,SWNloc,S,1.9043895935287962
057,37.0,6,SWNloc,S,3.195365164244363
057,294.0,1,SWNloc,W,3.2248497402586906
057,162.0,2,SWNloc,W,1.2004893893249518
057,64.0,3,SWNloc,W,2.1346813524141908
057,74.0,4,SWNloc,W,3.751366937482679
057,46.0,5,SWNloc,W,3.8875859768494316
057,37.0,6,SWNloc,W,3.1470459087474927
057,294.0,1,SWNloc,N,0.5947990424312279
057,162.0,2,SWNloc,N,0.12880878841673088
057,64.0,3,SWNloc,N,-0.39625032003338373
057,74.0,4,SWNloc,N,1.7119358348857343
057,46.0,5,SWNloc,N,1.279533105957207
057,37.0,6,SWNloc,N,0.40804864144003067
057,294.0,1,EventsOrig,Sem_photo,-0.18859925505001934
057,162.0,2,EventsOrig,Sem_photo,-0.48798301227298785
057,64.0,3,EventsOrig,Sem_photo,0.3070789650664665
057,74.0,4,EventsOrig,Sem_photo,0.298745761147222
057,46.0,5,EventsOrig,Sem_photo,0.6800912689903508
057,37.0,6,EventsOrig,Sem_photo,1.1016150471326467
057,294.0,1,EventsOrig,Perc_photo,-0.87291498910509
057,162.0,2,EventsOrig,Perc_photo,-0.9517127857715996
057,64.0,3,EventsOrig,Perc_photo,-1.7893459713086486
057,74.0,4,EventsOrig,Perc_photo,-1.3709410888117712
057,46.0,5,EventsOrig,Perc_photo,-0.42331945426438167
057,37.0,6,EventsOrig,Perc_photo,-1.6377595501977045
057,294.0,1,EventsOrig,Sem_sent,2.0005097212333256
057,162.0,2,EventsOrig,Sem_sent,0.36264183259580607
057,64.0,3,EventsOrig,Sem_sent,0.20403029344743118
057,74.0,4,EventsOrig,Sem_sent,1.4242135505821254
057,46.0,5,EventsOrig,Sem_sent,1.5437464066173718
057,37.0,6,EventsOrig,Sem_sent,1.2606079103173435
057,294.0,1,EventsOrig,Perc_sent,0.06420494402524363
057,162.0,2,EventsOrig,Perc_sent,-0.8255287912432794
057,64.0,3,EventsOrig,Perc_sent,-1.7117597595788538
