subject,froi,task1,task2,effect1,effect2,fisher_z
040,LIFG_orb,SWNloc,SWNloc,S,S,1.0511305228495325
040,LIFG,SWNloc,SWNloc,S,S,0.42109075023233994
040,LMFG,SWNloc,SWNloc,S,S,0.42196880509559387
040,LAntTemp,SWNloc,SWNloc,S,S,1.1209298719491596
040,LPostTemp,SWNloc,SWNloc,S,S,1.4077375049238938
040,LAngG,SWNloc,SWNloc,S,S,0.594839844127716
040,LIFG_orb,SWNloc,SWNloc,S,W,0.8410176369779828
040,LIFG,SWNloc,SWNloc,S,W,0.3392418665463315
040,LMFG,SWNloc,SWNloc,S,W,0.3335462229896915
040,LAntTemp,SWNloc,SWNloc,S,W,0.9611884859494465
040,LPostTemp,SWNloc,SWNloc,S,W,1.2873380329665534
040,LAngG,SWNloc,SWNloc,S,W,0.43218764871810117
040,LIFG_orb,SWNloc,SWNloc,S,N,0.6607060677354579
040,LIFG,SWNloc,SWNloc,S,N,0.41982354686032347
040,LMFG,SWNloc,SWNloc,S,N,0.329370373545163
040,LAntTemp,SWNloc,SWNloc,S,N,1.040593491761806
040,LPostTemp,SWNloc,SWNloc,S,N,1.4490903863392812
040,LAngG,SWNloc,SWNloc,S,N,0.5606149472053653
040,LIFG_orb,SWNloc,EventsOrig,S,Sem_photo,-0.18627123959023498
040,LIFG,SWNloc,EventsOrig,S,Sem_photo,0.5876644911203565
040,LMFG,SWNloc,EventsOrig,S,Sem_photo,-0.34430601198099603
040,LAntTemp,SWNloc,EventsOrig,S,Sem_photo,1.0325255154756185
040,LPostTemp,SWNloc,EventsOrig,S,Sem_photo,1.878983965865615
040,LAngG,SWNloc,EventsOrig,S,Sem_photo,0.10204621813968442
040,LIFG_orb,SWNloc,EventsOrig,S,Perc_photo,-0.09687309725237507
040,LIFG,SWNloc,EventsOrig,S,Perc_photo,0.2698514183268821
040,LMFG,SWNloc,EventsOrig,S,Perc_photo,-0.6179168998050202
040,LAntTemp,SWNloc,EventsOrig,S,Perc_photo,0.7505156535334198
040,LPostTemp,SWNloc,EventsOrig,S,Perc_photo,1.4601962945388278
040,LAngG,SWNloc,EventsOrig,S,Perc_photo,-0.15982371269483744
040,LIFG_orb,SWNloc,EventsOrig,S,Sem_sent,0.25367890202436677
040,LIFG,SWNloc,EventsOrig,S,Sem_sent,0.7749012787780537
040,LMFG,SWNloc,EventsOrig,S,Sem_sent,0.002772885127116555
040,LAntTemp,SWNloc,EventsOrig,S,Sem_sent,1.0027740756129706
040,LPostTemp,SWNloc,EventsOrig,S,Sem_sent,1.5937401637115554
040,LAngG,SWNloc,EventsOrig,S,Sem_sent,0.28966473819137195
040,LIFG_orb,SWNloc,EventsOrig,S,Perc_sent,-0.15485650184295924
040,LIFG,SWNloc,EventsOrig,S,Perc_sent,0.3355734045352491
040,LMFG,SWNloc,EventsOrig,S,Perc_sent,-0.27525828030807326
040,LAntTemp,SWNloc,EventsOrig,S,Perc_sent,0.17879374569261874
040,LPostTemp,SWNloc,EventsOrig,S,Perc_sent,1.226116704964202
040,LAngG,SWNloc,EventsOrig,S,Perc_sent,-0.021646584005588946
040,LIFG_orb,SWNloc,SWNloc,W,S,0.9035915757354808
040,LIFG,SWNloc,SWNloc,W,S,0.3495315965722125
040,LMFG,SWNloc,SWNloc,W,S,0.3632254020189634
040,LAntTemp,SWNloc,SWNloc,W,S,1.0272481310452612
040,LPostTemp,SWNloc,SWNloc,W,S,1.3741687579186959
040,LAngG,SWNloc,SWNloc,W,S,0.4731378420986214
040,LIFG_orb,SWNloc,SWNloc,W,W,0.7503541210372329
040,LIFG,SWNloc,SWNloc,W,W,0.3071071516341615
040,LMFG,SWNloc,SWNloc,W,W,0.3448669702236073
040,LAntTemp,SWNloc,SWNloc,W,W,0.8755099068761955
040,LPostTemp,SWNloc,SWNloc,W,W,1.2279950399489254
040,LAngG,SWNloc,SWNloc,W,W,0.3067511696742997
040,LIFG_orb,SWNloc,SWNloc,W,N,0.6509525594062803
040,LIFG,SWNloc,SWNloc,W,N,0.3789464570729916
040,LMFG,SWNloc,SWNloc,W,N,0.5047473999565127
040,LAntTemp,SWNloc,SWNloc,W,N,0.9619650883106443
040,LPostTemp,SWNloc,SWNloc,W,N,1.4051311693780058
040,LAngG,SWNloc,SWNloc,W,N,0.45868317704990313
040,LIFG_orb,SWNloc,EventsOrig,W,Sem_photo,-0.09332599036215082
040,LIFG,SWNloc,EventsOrig,W,Sem_photo,0.5395045066176054
040,LMFG,SWNloc,EventsOrig,W,Sem_photo,-0.4646021266024032
040,LAntTemp,SWNloc,EventsOrig,W,Sem_photo,1.1177657207781282
040,LPostTemp,SWNloc,EventsOrig,W,Sem_photo,1.808437682215138
040,LAngG,SWNloc,EventsOrig,W,Sem_photo,-0.02988534144946718
040,LIFG_orb,SWNloc,EventsOrig,W,Perc_photo,-0.015748349811119042
040,LIFG,SWNloc,EventsOrig,W,Perc_photo,0.21056122278504588
040,LMFG,SWNloc,EventsOrig,W,Perc_photo,-0.5954429855738261
040,LAntTemp,SWNloc,EventsOrig,W,Perc_photo,0.7959946037199012
040,LPostTemp,SWNloc,EventsOrig,W,Perc_photo,1.3895616339683563
040,LAngG,SWNloc,EventsOrig,W,Perc_photo,-0.09646160231748432
040,LIFG_orb,SWNloc,EventsOrig,W,Sem_sent,0.32183281556953847
040,LIFG,SWNloc,EventsOrig,W,Sem_sent,0.7893731617564611
040,LMFG,SWNloc,EventsOrig,W,Sem_sent,-0.1382851915396587
040,LAntTemp,SWNloc,EventsOrig,W,Sem_sent,1.1153948857523976
040,LPostTemp,SWNloc,EventsOrig,W,Sem_sent,1.5896973258690923
040,LAngG,SWNloc,EventsOrig,W,Sem_sent,0.2227774567563681
040,LIFG_orb,SWNloc,EventsOrig,W,Perc_sent,-0.05316454952477909
040,LIFG,SWNloc,EventsOrig,W,Perc_sent,0.3221113209575904
040,LMFG,SWNloc,EventsOrig,W,Perc_sent,-0.19645935871917367
040,LAntTemp,SWNloc,EventsOrig,W,Perc_sent,0.22888468235712162
040,LPostTemp,SWNloc,EventsOrig,W,Perc_sent,1.2121344967039276
040,LAngG,SWNloc,EventsOrig,W,Perc_sent,0.08070244187409253
040,LIFG_orb,SWNloc,SWNloc,N,S,0.6542002650054777
040,LIFG,SWNloc,SWNloc,N,S,0.4187522674554962
040,LMFG,SWNloc,SWNloc,N,S,0.32998236994099744
040,LAntTemp,SWNloc,SWNloc,N,S,1.0435328038948894
040,LPostTemp,SWNloc,SWNloc,N,S,1.4222109288054534
040,LAngG,SWNloc,SWNloc,N,S,0.556098952739164
040,LIFG_orb,SWNloc,SWNloc,N,W,0.6147425045335186
040,LIFG,SWNloc,SWNloc,N,W,0.3565284831799516
040,LMFG,SWNloc,SWNloc,N,W,0.3915287176628828
040,LAntTemp,SWNloc,SWNloc,N,W,0.9304109948292711
040,LPostTemp,SWNloc,SWNloc,N,W,1.3005009777257257
040,LAngG,SWNloc,SWNloc,N,W,0.4411310400191221
040,LIFG_orb,SWNloc,SWNloc,N,N,0.7663052820590771
040,LIFG,SWNloc,SWNloc,N,N,0.5077205136901255
040,LMFG,SWNloc,SWNloc,N,N,0.4708434130610293
040,LAntTemp,SWNloc,SWNloc,N,N,1.0797948591884312
040,LPostTemp,SWNloc,SWNloc,N,N,1.5345420633840507
040,LAngG,SWNloc,SWNloc,N,N,0.5630249548040752
040,LIFG_orb,SWNloc,EventsOrig,N,Sem_photo,0.05410056604256262
040,LIFG,SWNloc,EventsOrig,N,Sem_photo,0.6012993864683347
040,LMFG,SWNloc,EventsOrig,N,Sem_photo,-0.6068356576962248
040,LAntTemp,SWNloc,EventsOrig,N,Sem_photo,1.2120285860655755
